('59064092', 'electricity', '25.02.2025', 'Февраль', '14291', '466716'),
('51400', 'electricity', '25.02.2025', 'Февраль', '1902', '51653'),
('010556136501496', 'electricity', '25.02.2025', 'Февраль', '342', '17849'),
('61068397', 'electricity', '25.02.2025', 'Февраль', '749', '12425'),
('57004022', 'electricity', '25.02.2025', 'Февраль', '1009', '91660'),
('011073178318934', 'electricity', '25.02.2025', 'Февраль', '2767', '79751'),
('011073178320234', 'electricity', '25.02.2025', 'Февраль', '2739', '60007'),
('011073178317712', 'electricity', '25.02.2025', 'Февраль', '3154', '94962'),
('57039503', 'electricity', '25.02.2025', 'Февраль', '3887', '429272'),
('011073175159709', 'electricity', '25.02.2025', 'Февраль', '5451', '244173'),
('11073178318979', 'electricity', '25.02.2025', 'Февраль', '3165', '102982'),
('60212475', 'electricity', '25.02.2025', 'Февраль', '6791', '165209'),
('011124174560861', 'electricity', '25.02.2025', 'Февраль', '132', '5442'),
('30430388', 'electricity', '25.02.2025', 'Февраль', '724', '33724'),
('30576763', 'electricity', '25.02.2025', 'Февраль', '1279', '394090'),
('00023868', 'electricity', '25.02.2025', 'Февраль', '1946', '157597'),
('011073174088472', 'electricity', '25.02.2025', 'Февраль', '1326', '59970'),
('58005608', 'electricity', '25.02.2025', 'Февраль', '1398', '66806'),
('57036711', 'electricity', '25.02.2025', 'Февраль', '448', '33689'),
('57123919', 'electricity', '25.02.2025', 'Февраль', '340', '19012'),
('57033695', 'electricity', '25.02.2025', 'Февраль', '179', '91673'),
('57007172', 'electricity', '25.02.2025', 'Февраль', '5883', '296521'),
('57007604', 'electricity', '25.02.2025', 'Февраль', '676', '30506'),
('57033709', 'electricity', '25.02.2025', 'Февраль', '1034', '39990'),
('26026814', 'electricity', '25.02.2025', 'Февраль', '4623', '403344'),
('433682', 'electricity', '25.02.2025', 'Февраль', '0', '20479'),
('57028197', 'electricity', '25.02.2025', 'Февраль', '8458', '255160'),
('176639', 'electricity', '25.02.2025', 'Февраль', '651', '43881'),
('32208546', 'electricity', '25.02.2025', 'Февраль', '11', '4269'),
('096296519', 'electricity', '25.02.2025', 'Февраль', '0', '15487'),
('101526546', 'electricity', '25.02.2025', 'Февраль', '0', '21824'),
('002370', 'electricity', '25.02.2025', 'Февраль', '2534', '113208'),
('23986357', 'electricity', '25.02.2025', 'Февраль', '840', '9646'),
('31154892', 'electricity', '25.02.2025', 'Февраль', '0', '9784'),
('58008811', 'electricity', '25.02.2025', 'Февраль', '1719', '133116'),
('104302352', 'electricity', '25.02.2025', 'Февраль', '1', '7937'),
('104346009', 'electricity', '25.02.2025', 'Февраль', '25', '18083'),
('104302646', 'electricity', '25.02.2025', 'Февраль', '160', '24124'),
('00026138', 'electricity', '25.02.2025', 'Февраль', '190', '92259'),
('104300790', 'electricity', '25.02.2025', 'Февраль', '779', '88179'),
('00011235', 'electricity', '25.02.2025', 'Февраль', '273', '29020'),
('353101', 'electricity', '25.02.2025', 'Февраль', '88', '18244'),
('074537', 'electricity', '25.02.2025', 'Февраль', '0', '1030'),
('353033', 'electricity', '25.02.2025', 'Февраль', '282', '6952'),
('353063', 'electricity', '25.02.2025', 'Февраль', '13', '3133'),
('505801', 'electricity', '25.02.2025', 'Февраль', '0', '10533'),
('505425', 'electricity', '25.02.2025', 'Февраль', '16', '2820'),
('513846', 'electricity', '25.02.2025', 'Февраль', '15', '3836'),
('513870', 'electricity', '25.02.2025', 'Февраль', '3', '1867'),
('505893', 'electricity', '25.02.2025', 'Февраль', '0', '2585'),
('503855', 'electricity', '25.02.2025', 'Февраль', '0', '4350'),
('102117694', 'electricity', '25.02.2025', 'Февраль', '63', '3605'),
('102143518', 'electricity', '25.02.2025', 'Февраль', '191', '7514'),
('102117701', 'electricity', '25.02.2025', 'Февраль', '48', '2014'),
('102117752', 'electricity', '25.02.2025', 'Февраль', '153', '4354'),
('102117702', 'electricity', '25.02.2025', 'Февраль', '135', '17400'),
('101526730', 'electricity', '25.02.2025', 'Февраль', '62', '4353'),
('101526565', 'electricity', '25.02.2025', 'Февраль', '31', '5454'),
('102143485', 'electricity', '25.02.2025', 'Февраль', '0', '4557'),
('101526692', 'electricity', '25.02.2025', 'Февраль', '64', '6964'),
('502819', 'electricity', '25.02.2025', 'Февраль', '10', '5159'),
('504476', 'electricity', '25.02.2025', 'Февраль', '39', '4304'),
('101526584', 'electricity', '25.02.2025', 'Февраль', '169', '12260'),
('101525489', 'electricity', '25.02.2025', 'Февраль', '0', '8185'),
('101525523', 'electricity', '25.02.2025', 'Февраль', '54', '11447'),
('101526659', 'electricity', '25.02.2025', 'Февраль', '37', '2579'),
('503846', 'electricity', '25.02.2025', 'Февраль', '110', '11409'),
('502846', 'electricity', '25.02.2025', 'Февраль', '95', '35813'),
('502816', 'electricity', '25.02.2025', 'Февраль', '48', '16517'),
('279178', 'electricity', '25.02.2025', 'Февраль', '216', '17868'),
('513852', 'electricity', '25.02.2025', 'Февраль', '0', '53151'),
('101526568', 'electricity', '25.02.2025', 'Февраль', '13', '14132'),
('101526491', 'electricity', '25.02.2025', 'Февраль', '0', '30289'),
('328969', 'electricity', '25.02.2025', 'Февраль', '0', '7065'),
('420602', 'electricity', '25.02.2025', 'Февраль', '28', '642'),
('420691', 'electricity', '25.02.2025', 'Февраль', '0', '8225'),
('420670', 'electricity', '25.02.2025', 'Февраль', '0', '3007'),
('420688', 'electricity', '25.02.2025', 'Февраль', '2', '11930'),
('420705', 'electricity', '25.02.2025', 'Февраль', '2', '4919'),
('011695144734837', 'electricity', '25.02.2025', 'Февраль', '0', '977'),
('488444', 'electricity', '25.02.2025', 'Февраль', '1', '4867'),
('61053128', 'electricity', '25.02.2025', 'Февраль', '0', '376'),
('62045682', 'electricity', '25.02.2025', 'Февраль', '0', '1384'),
('62046645', 'electricity', '25.02.2025', 'Февраль', '0', '151'),
('62046750', 'electricity', '25.02.2025', 'Февраль', '0', '138'),
('60120296', 'electricity', '25.02.2025', 'Февраль', '458', '9722'),
('011067173232077', 'electricity', '25.02.2025', 'Февраль', '28', '2262'),
('30542492', 'electricity', '25.02.2025', 'Февраль', '0', '729'),
('39022711', 'electricity', '25.02.2025', 'Февраль', '2111', '80498'),
('57031643', 'electricity', '25.02.2025', 'Февраль', '841', '41834'),
('57026169', 'electricity', '25.02.2025', 'Февраль', '506', '42055'),
('21973109', 'electricity', '25.02.2025', 'Февраль', '1212', '71638'),
('00001167', 'electricity', '25.02.2025', 'Февраль', '467', '50942'),
('0278925', 'electricity', '25.02.2025', 'Февраль', '495', '224494'),
('096296477', 'electricity', '25.02.2025', 'Февраль', '87', '21251'),
('102117636', 'electricity', '25.02.2025', 'Февраль', '245', '20472'),
('318354-D', 'electricity', '25.02.2025', 'Февраль', '114', '124541'),
('318354-N', 'electricity', '25.02.2025', 'Февраль', '34', '31874'),
('00042260', 'electricity', '25.02.2025', 'Февраль', '1393', '88891'),
('081794', 'electricity', '25.02.2025', 'Февраль', '171', '59663'),
('079620', 'electricity', '25.02.2025', 'Февраль', '1367', '110575'),
('60115072', 'electricity', '25.02.2025', 'Февраль', '539', '31941'),
('011074189298989', 'electricity', '25.02.2025', 'Февраль', '221', '3311'),
('00001868', 'electricity', '25.02.2025', 'Февраль', '0', '10686'),
('102117743', 'electricity', '25.02.2025', 'Февраль', '4', '2553'),
('082212', 'electricity', '25.02.2025', 'Февраль', '220', '43294'),
('259693', 'electricity', '25.02.2025', 'Февраль', '1278', '84781'),
('025648', 'electricity', '25.02.2025', 'Февраль', '1013', '85870'),
('011074189201337', 'electricity', '25.02.2025', 'Февраль', '846', '7324'),
('00026987', 'electricity', '25.02.2025', 'Февраль', '541', '34516'),
('081799', 'electricity', '25.02.2025', 'Февраль', '187', '38328'),
('57005898', 'electricity', '25.02.2025', 'Февраль', '136', '32613'),
('00006399', 'electricity', '25.02.2025', 'Февраль', '771', '94945'),
('075777', 'electricity', '25.02.2025', 'Февраль', '791', '95145'),
('57035662', 'electricity', '25.02.2025', 'Февраль', '333', '27172'),
('011074180072841', 'electricity', '25.02.2025', 'Февраль', '529', '14080'),
('011075195114371', 'electricity', '25.02.2025', 'Февраль', '6463', '69732'),
('78736', 'electricity', '25.02.2025', 'Февраль', '1496', '144297'),
('910704', 'electricity', '25.02.2025', 'Февраль', '0', '1039'),
('45581390', 'electricity', '25.02.2025', 'Февраль', '0', '0'),
('13165199594213', 'electricity', '25.02.2025', 'Февраль', '11', '54'),
('57038759', 'electricity', '25.02.2025', 'Февраль', '8168', '440613'),
('011073181158685', 'electricity', '25.02.2025', 'Февраль', '2325', '7762'),
('107422821', 'electricity', '25.02.2025', 'Февраль', '7586', '733711'),
('023232053338', 'electricity', '25.02.2025', 'Февраль', '65120', '14328'),
('023232054335', 'electricity', '25.02.2025', 'Февраль', '76000', '16224'),
('12519812', 'water', '25.02.2025', 'февраль', '1627', '2095'),
('11550601', 'water', '25.02.2025', 'февраль', '0', '33'),
('8ZR10070257247', 'water', '25.02.2025', 'февраль', '0', '494'),
('11550622', 'water', '25.02.2025', 'февраль', '0', '2'),
('б/н', 'water', '25.02.2025', 'февраль', '1772', '89308'),
('354139204', 'water', '25.02.2025', 'февраль', '42', '9824'),
('118490/1', 'water', '25.02.2025', 'февраль', '372', '65615'),
('732305', 'water', '25.02.2025', 'февраль', '2', '460'),
('20131943184', 'water', '25.02.2025', 'февраль', '0', '640'),
('3646482', 'water', '25.02.2025', 'февраль', '0', '84'),
('3527412', 'water', '25.02.2025', 'февраль', '10', '238'),
